radio,mcc,mnc,Company,lac,cid,changeable_0,long,lat,range,sample,changeable_1,created,updated,avgsignal
GSM,405,6,Reliance (Used for Jio in some area),6161,40952,0,73.06388855,20.75935364,1000,1,1,1459658936,1459658936,0
GSM,405,927,Uninor,1014,17591,0,72.62992859,23.03901672,1000,15,1,1367704671,1367704671,0
GSM,405,927,Uninor,1014,27213,0,72.62992859,23.03901672,1000,10,1,1367704186,1367704186,0
GSM,405,927,Uninor,1014,29403,0,72.62992859,23.03901672,1000,1,1,1367673277,1367673277,0
GSM,405,6,Reliance (Used for Jio in some area),6112,42142,0,71.77803,21.400223,2235,3,1,1381041832,1439714183,0
GSM,405,6,Reliance (Used for Jio in some area),6112,41673,0,71.792221,21.408005,1208,3,1,1381041832,1439715856,0
GSM,405,6,Reliance (Used for Jio in some area),6061,50581,0,72.568334,23.05966,1000,250,1,1383273760,1491831517,0
GSM,405,6,Reliance (Used for Jio in some area),6061,50002,0,72.568523,23.059878,1000,21,1,1383273760,1467769941,0
GSM,405,6,Reliance (Used for Jio in some area),6161,40972,0,73.03230286,20.73326111,1000,1,1,1459748786,1459748786,0
GSM,405,6,Reliance (Used for Jio in some area),6171,50812,0,72.991104,20.704422,1495,2,1,1459802143,1481869875,0
GSM,405,6,Reliance (Used for Jio in some area),6171,50151,0,72.960205,20.627518,1000,2,1,1459802142,1481869881,0
GSM,405,6,Reliance (Used for Jio in some area),6171,50843,0,72.98973,20.703049,1697,2,1,1459802143,1481869875,0
GSM,405,6,Reliance (Used for Jio in some area),6171,50842,0,72.99659729,20.68244934,1000,1,1,1459748786,1459748786,0
GSM,405,6,Reliance (Used for Jio in some area),6112,40942,0,71.26487732,21.47483826,1000,2,1,1239014087,1239014087,0
GSM,405,827,Videocon Datacom,13535,8712,0,72.87986755,22.68608093,1000,5,1,1287867698,1290696772,0
GSM,405,927,Uninor,1061,12351,0,69.67048645,23.24226379,1000,1,1,1289970179,1289970179,0
GSM,405,927,Uninor,1061,14673,0,69.67048645,23.24226379,1000,4,1,1289970295,1289970295,0
GSM,405,6,Reliance (Used for Jio in some area),6081,10022,0,69.66911316,23.24226379,1000,2,1,1290749640,1290749640,0
GSM,405,827,Videocon Datacom,13512,15532,0,73.176498,22.330948,1000,5,1,1296363941,1411253992,0
GSM,405,827,Videocon Datacom,13545,31823,0,72.54341125,23.12828064,1000,1,1,1297809033,1297809033,0
GSM,405,927,Uninor,1021,13271,0,72.548904,23.053207,1000,3,1,1299755081,1299755081,0
GSM,405,927,Uninor,1021,10582,0,72.54890442,23.05412292,1000,4,1,1299774802,1301379156,0
GSM,405,927,Uninor,1051,16592,0,73.29322815,23.46061707,1000,1,1,1301319418,1301319418,0
GSM,405,827,Videocon Datacom,13506,12801,0,72.86613464,21.19056702,1000,1,1,1302091731,1302091731,0
GSM,405,827,Videocon Datacom,13522,10441,0,70.7787323,22.27684021,1000,5,1,1303922984,1303922984,0
GSM,405,827,Videocon Datacom,13562,30882,0,72.940292,21.289444,1000,2,1,1304697225,1411254021,0
